Name,Longitude,Latitude,key_model
University of Illinois at Chicago,41.8697938,-87.6496336,41.8697938 + -87.6496336
Florida International University - College of Engineering & Computing,25.7700634,-80.3677729,25.7700634 + -80.3677729
Auburn University,32.5933574,-85.4951663,32.5933574 + -85.4951663
Clemson University,34.6761105,-82.8366374,34.6761105 + -82.8366374
University of Florida,29.6436325,-82.3549302,29.6436325 + -82.3549302
Texas Tech University - Rawls College of Business,33.5878391,-101.8792511,33.5878391 + -101.8792511
Stanford University,37.4274745,-122.169719,37.4274745 + -122.169719
Rochester Institute of Technology,43.0845894,-77.6743445,43.0845894 + -77.6743445
New York University,40.7295134,-73.9964609,40.7295134 + -73.9964609
University of South Florida,28.0587031,-82.4138539,28.0587031 + -82.4138539
Purdue University,40.4237054,-86.9211946,40.4237054 + -86.9211946
The University of Tulsa,36.1519879,-95.946,36.1519879 + -95.946
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
University of Nebraska-Lincoln,40.8201966,-96.7004763,40.8201966 + -96.7004763
University of Missouri-Columbia,38.9403808,-92.3277375,38.9403808 + -92.3277375
Iowa State University,42.0266187,-93.6464654,42.0266187 + -93.6464654
Boston University,42.3504997,-71.1053991,42.3504997 + -71.1053991
University of Missouri-Columbia,38.9403808,-92.3277375,38.9403808 + -92.3277375
North Carolina State University,35.7846633,-78.6820946,35.7846633 + -78.6820946
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
Stanford University,37.4274745,-122.169719,37.4274745 + -122.169719
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
Santa Clara University,37.3496418,-121.9389875,37.3496418 + -121.9389875
University of Maryland Baltimore County,39.2556759,-76.7109674,39.2556759 + -76.7109674
Gannon University,42.1282445,-80.0865882,42.1282445 + -80.0865882
University of Louisiana at Lafayette,30.2114404,-92.0204121,30.2114404 + -92.0204121
University of Michigan,42.2780436,-83.7382241,42.2780436 + -83.7382241
University of Louisiana at Lafayette,30.2114404,-92.0204121,30.2114404 + -92.0204121
"Rutgers, The State University of New Jersey-New Brunswick",40.5008186,-74.4473991,40.5008186 + -74.4473991
North Carolina State University,35.7846633,-78.6820946,35.7846633 + -78.6820946
"University of California, San Diego",32.8800604,-117.2340135,32.8800604 + -117.2340135
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Stanford University,37.4274745,-122.169719,37.4274745 + -122.169719
The University of Texas at Austin,30.2849185,-97.7340567,30.2849185 + -97.7340567
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Columbia University - Fu Foundation School of Engineering and Applied Science,40.8093798,-73.9599676,40.8093798 + -73.9599676
University of Illinois at Urbana-Champaign,40.1019523,-88.2271615,40.1019523 + -88.2271615
Santa Clara University Leavey School of Business,37.3496418,-121.9389875,37.3496418 + -121.9389875
"Birla Institute of Technology and Science, Pilani",28.3588163,75.5880123,28.3588163 + 75.5880123
Stanford University,37.4274745,-122.169719,37.4274745 + -122.169719
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
University Of Michigan,42.2780436,-83.7382241,42.2780436 + -83.7382241
Columbia University in the City of New York,40.8075355,-73.9625727,40.8075355 + -73.9625727
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Stony Brook University,40.9123761,-73.1233889,40.9123761 + -73.1233889
Stony Brook University,40.9123761,-73.1233889,40.9123761 + -73.1233889
"Birla Institute of Technology and Science,goa campus",15.3911235,73.8781617,15.3911235 + 73.8781617
Institute of Technology and management kharghar,19.0333619,73.0645272,19.0333619 + 73.0645272
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Georgia Institute of Technology,33.7756178,-84.396285,33.7756178 + -84.396285
University of Illinois at Chicago,41.8697938,-87.6496336,41.8697938 + -87.6496336
University of South Florida,28.0587031,-82.4138539,28.0587031 + -82.4138539
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
University of Illinois at Chicago,41.8697938,-87.6496336,41.8697938 + -87.6496336
University of South Florida,28.0587031,-82.4138539,28.0587031 + -82.4138539
"Naveen Jindal School of Management, UT Dallas",32.9850381,-96.7470324,32.9850381 + -96.7470324
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
Rutgers Business School,40.523317,-74.440951,40.523317 + -74.440951
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
"California State University, Fullerton",33.8829226,-117.8869261,33.8829226 + -117.8869261
Texas A&M University,30.618531,-96.336499,30.618531 + -96.336499
National Institute of Technology Karnataka,13.0108387,74.7943104,13.0108387 + 74.7943104
"University of Washington, Michael G. Foster School of Business",47.659122,-122.3085061,47.659122 + -122.3085061
Indiana University Bloomington,39.1784384,-86.5133166,39.1784384 + -86.5133166
