Name,Rank,Longitude,Latitude,key_top200
Binghamton University--SUNY,86,42.0893553,-75.9697049,42.0893553 + -75.9697049
Indiana University--Bloomington,86,39.1784384,-86.5133166,39.1784384 + -86.5133166
Marquette University,86,43.038473,-87.9304455,43.038473 + -87.9304455
University of Denver,86,39.6766174,-104.9618965,39.6766174 + -104.9618965
University of San Diego,86,32.7719191,-117.188213,32.7719191 + -117.188213
University of Tulsa,86,36.1519879,-95.946,36.1519879 + -95.946
Florida State University,92,30.4418778,-84.2984889,30.4418778 + -84.2984889
North Carolina State University--Raleigh,92,35.7846633,-78.6820946,35.7846633 + -78.6820946
University of Colorado--Boulder,92,40.007581,-105.2659417,40.007581 + -105.2659417
University of Vermont,92,44.4778528,-73.1964637,44.4778528 + -73.1964637
Drexel University,96,39.9566127,-75.1899441,39.9566127 + -75.1899441
Saint Louis University,96,38.6354598,-90.2338232,38.6354598 + -90.2338232
Stony Brook University--SUNY,96,40.9123761,-73.1233889,40.9123761 + -73.1233889
Auburn University,99,32.5933574,-85.4951663,32.5933574 + -85.4951663
Loyola University Chicago,99,41.9989483,-87.6582592,41.9989483 + -87.6582592
SUNY College of Environmental Science and Forestry,99,43.0344612,-76.1369148,43.0344612 + -76.1369148
University at Buffalo--SUNY,99,43.0008093,-78.7889697,43.0008093 + -78.7889697
Illinois Institute of Technology,103,41.8348731,-87.6270059,41.8348731 + -87.6270059
University of Alabama,103,33.2140233,-87.5391418,33.2140233 + -87.5391418
University of Oregon,103,44.0448302,-123.0726055,44.0448302 + -123.0726055
University of Tennessee,103,35.9544013,-83.9294564,35.9544013 + -83.9294564
Rochester Institute of Technology,107,43.0845894,-77.6743445,43.0845894 + -77.6743445
University of New Hampshire,107,43.138948,-70.9370252,43.138948 + -70.9370252
University of San Francisco,107,37.7765141,-122.4506413,37.7765141 + -122.4506413
University of South Carolina,107,33.996112,-81.0274276,33.996112 + -81.0274276
Iowa State University,111,42.0266187,-93.6464654,42.0266187 + -93.6464654
University of Dayton,111,39.7393,-84.1799675,39.7393 + -84.1799675
University of Missouri,111,38.9403808,-92.3277375,38.9403808 + -92.3277375
University of Nebraska--Lincoln,111,40.8201966,-96.7004763,40.8201966 + -96.7004763
University of Oklahoma,111,35.2058936,-97.4457137,35.2058936 + -97.4457137
University of the Pacific,111,37.9808152,-121.3120225,37.9808152 + -121.3120225
University of Utah,111,40.7649368,-111.8421021,40.7649368 + -111.8421021
Michigan Technological University,118,47.1167748,-88.5460218,47.1167748 + -88.5460218
Seton Hall University,118,40.7425521,-74.2464941,40.7425521 + -74.2464941
Temple University,118,39.9811935,-75.1553512,39.9811935 + -75.1553512
University of California--Riverside,118,33.9737055,-117.3280644,33.9737055 + -117.3280644
University of Kansas,118,38.9543439,-95.2557961,38.9543439 + -95.2557961
University of St. Thomas,118,44.941751,-93.1914909,44.941751 + -93.1914909
The Catholic University of America,124,38.9368811,-76.998692,38.9368811 + -76.998692
DePaul University,124,41.877512,-87.627227,41.877512 + -87.627227
Duquesne University,124,40.4374516,-79.9905863,40.4374516 + -79.9905863
Howard University,124,38.9226843,-77.0194377,38.9226843 + -77.0194377
University of Arizona,124,32.2318851,-110.9501094,32.2318851 + -110.9501094
